Hole,Par,1Club,FW,Dist,GR,Bad,Pdist,Putts,Bad,Score
1,4,D,H,260,R,0,21,2,0,4
2,5,D,X,NR,P,1,NR,3,0,7
3,3,7,NA,NA,R,0,18,2,0,3
4,4,D,X,160,P,0,8,2,0,5
5,4,D,X,NR,X,2,NR,2,0,7
6,4,D,X,177,R,0,60,3,0,5
7,4,D,X,190,P,0,4,1,0,4
8,5,D,X,NR,X,1,2,1,0,6
9,3,9,X,140,P,0,12,2,0,4
10,4,D,X,NR,X,1,NR,2,0,6
11,4,D,X,NR,X,0,NR,2,0,6
12,4,5W,H,185,P,0,9,2,0,5
13,4,5W,H,185,P,0,30,2,0,5
14,3,GW,NA,NR,P,0,NR,2,0,4
15,3,NR,NR,NR,P,0,NR,2,0,4
16,5,6I,H,165,P,0,NR,2,0,6
17,4,D,X,NR,P,1,NR,3,1,6
18,5,D,X,200,P,1,30,2,0,6
